year,name,sex,count
2012,DAVID,M,273
2012,JAYDEN,M,259
2012,JACOB,M,229
2012,DANIEL,M,213
2012,ETHAN,M,212
2012,JAYDEN,M,207
2012,LEAH,F,204
2012,ETHAN,M,201
2012,MOSHE,M,200
2012,SOPHIA,F,199
2012,ISABELLA,F,193
2012,AIDEN,M,187
2012,JAYDEN,M,185
2012,DANIEL,M,184
2012,MATTHEW,M,184
2012,JOSEPH,M,174
2012,MICHAEL,M,172
2012,AIDEN,M,171
2012,SOPHIA,F,169
2012,ESTHER,F,169
2012,SARAH,F,163
2012,RACHEL,F,163
2012,RYAN,M,162
2012,JACOB,M,162
2012,JUSTIN,M,159
2012,EMILY,F,159
2012,MICHAEL,M,159
2012,MATTHEW,M,158
2012,ANTHONY,M,154
2012,EMILY,F,153
2012,MICHAEL,M,151
2012,RYAN,M,150
2012,ETHAN,M,149
2012,ALEXANDER,M,145
2012,CHAYA,F,142
2012,CHANA,F,139
2012,ALEXANDER,M,138
2012,JUSTIN,M,138
2012,LUCAS,M,138
2012,JOSHUA,M,136
2012,JOSEPH,M,136
2012,CHLOE,F,135
2012,JACOB,M,135
2012,ALEXANDER,M,135
2012,MICHAEL,M,134
2012,JOSHUA,M,133
2012,OLIVIA,F,133
2012,EMMA,F,133
2012,OLIVIA,F,130
2012,SAMUEL,M,130
2012,CHAIM,M,130
2012,MATTHEW,M,127
2012,MATTHEW,M,127
2012,ISABELLA,F,125
2012,MIRIAM,F,125
2012,NOAH,M,125
2012,DYLAN,M,125
2012,ANTHONY,M,124
2012,AIDEN,M,123
2012,JOSEPH,M,122
2012,ABRAHAM,M,122
2012,ANTHONY,M,122
2012,SOPHIA,F,122
2012,DAVID,M,121
2012,MASON,M,119
2012,JONATHAN,M,119
2012,MIA,F,119
2012,SOPHIA,F,118
2012,ISABELLA,F,117
2012,ISABELLA,F,117
2012,KEVIN,M,117
2012,JOSEPH,M,117
2012,EMMA,F,116
2012,AARON,M,115
2012,CHLOE,F,115
2012,OLIVIA,F,113
2012,RYAN,M,112
2012,MASON,M,111
2012,ANTHONY,M,110
2012,MASON,M,110
2012,ETHAN,M,109
2012,RYAN,M,108
2012,BENJAMIN,M,108
2012,EMMA,F,108
2012,JASON,M,108
2012,CHRISTOPHER,M,108
2012,KEVIN,M,107
2012,MICHAEL,M,107
2012,JEREMIAH,M,106
2012,MATTHEW,M,106
2012,CHRISTOPHER,M,106
2012,NOAH,M,106
2012,MADISON,F,105
2012,BRANDON,M,105
2012,ANDREW,M,105
2012,JACOB,M,105
2012,JAYDEN,M,105
2012,MIA,F,104
2012,DYLAN,M,104
2012,LIAM,M,104
2012,NICHOLAS,M,104
2012,NICHOLAS,M,103
2012,LIAM,M,102
2012,MADISON,F,101
2012,GABRIEL,M,100
2012,JASON,M,99
2012,MADISON,F,99
2012,JONATHAN,M,98
2012,MIA,F,98
2012,CHRISTIAN,M,97
2012,OLIVIA,F,97
2012,LIAM,M,97
2012,SARA,F,96
2012,JUSTIN,M,96
2012,AVA,F,96
2012,BENJAMIN,M,95
2012,SOPHIA,F,95
2012,AARON,M,95
2012,WILLIAM,M,94
2012,ISAAC,M,94
2012,JOSHUA,M,94
2012,RYAN,M,94
2012,NOAH,M,93
2012,ABIGAIL,F,93
2012,SEBASTIAN,M,92
2012,DYLAN,M,92
2012,EMMA,F,91
2012,ABIGAIL,F,91
2012,LUCAS,M,91
2012,JAMES,M,91
2012,DANIEL,M,89
2012,TYLER,M,89
2012,JAMES,M,89
2012,WILLIAM,M,88
2012,ELIJAH,M,88
2012,SOFIA,F,88
2012,ISABELLA,F,88
2012,CHRISTOPHER,M,87
2012,HENRY,M,87
2012,JACK,M,87
2012,JACOB,M,87
2012,VICTORIA,F,87
2012,EMMA,F,87
2012,JAMES,M,86
2012,CHLOE,F,86
2012,ADAM,M,86
2012,JAYDEN,M,85
2012,JAMES,M,85
2012,ANDREW,M,85
2012,JEREMIAH,M,85
2012,LIAM,M,85
2012,SAMANTHA,F,85
2012,AVA,F,85
2012,MASON,M,84
2012,MATTHEW,M,84
2012,MIA,F,84
2012,NICHOLAS,M,84
2012,ANGEL,M,84
2012,ELIJAH,M,84
2012,ANTHONY,M,84
2012,DANIEL,M,84
2012,DYLAN,M,83
2012,YOSEF,M,83
2012,CHRISTIAN,M,83
2012,MIA,F,83
2012,LIAM,M,82
2012,CHRISTOPHER,M,82
2012,NICHOLAS,M,81
2012,AVA,F,81
2012,JOSEPH,M,81
2012,WILLIAM,M,81
2012,DYLAN,M,80
2012,ISABELLA,F,80
